,SYMBOL
1433,KV8.SI
1434,O9C.SI
1435,TU6.SI
1436,E1:CZ4.SI
1457,E2:N14.SI
1461,E1:IH2.SI
1462,E2:HE0.SI
1464,E2:KT4.SI
1465,5UZ.SI
1466,E1:HD9.SI
1471,E1:N14.SI
1473,E2:LG7.SI
1474,P12.SI
1475,D07.SI
1476,E1:LG8.SI
1477,I21.SI
1479,E1:5CB.SI
1481,E1:QC7.SI
1482,IH1.SI
1483,U0N.SI
1489,E1:B1N.SI
1490,E1:HD6.SI
1491,HD6.SI
1499,5MQ.SI
1500,EB5.SI
1501,E16.SI
1503,5ME.SI
1504,500.SI
1505,TS9.SI
1506,S44.SI
1507,Q5T.SI
1509,MF6.SI
1510,E17.SI
1512,5VT.SI
1513,5GB.SI
1514,TT0.SI
1515,S59.SI
1516,RE4.SI
1517,P40U.SI
1518,O10.SI
1519,LS9.SI
1521,FO8.SI
1522,ER0.SI
1527,5RC.SI
1529,JC5.SI
1531,F03.SI
1536,5TJ.SI
1539,5FL.SI
1541,E1:CW4.SI
1542,E1:502.SI
1543,E1:5CQ.SI
1544,E1:540.SI
1546,E1:5FW.SI
1548,5KU.SI
1549,594.SI
1551,E1:526.SI
1552,E1:591.SI
1553,E1:560.SI
1554,E1:5UN.SI
1556,E1:5RA.SI
1557,E1:5NG.SI
1558,E1:B2F.SI
1559,E1:A27.SI
1560,E1:F01.SI
1561,E1:FQ7.SI
1562,E1:CX5.SI
1563,E1:H19.SI
1564,E1:KJ6.SI
1565,E1:K2P.SI
1570,E1:G20.SI
1572,E1:E3B.SI
1573,E1:H06.SI
1574,E1:M05.SI
1575,E1:L25.SI
1576,E1:LH4U.SI
1577,E1:N01.SI
1578,E1:I04.SI
1579,E1:J10.SI
1580,E1:J69U.SI
1581,E1:J74.SI
1582,E1:P9J.SI
1583,E1:K71U.SI
1584,E1:JC6.SI
1585,E1:Q1P.SI
1586,E1:Q7W.SI
1587,E1:Y92.SI
1589,E1:K2LU.SI
1590,E1:L15.SI
1591,E1:P36.SI
1592,E1:QS9.SI
1593,E1:L23.SI
1594,E1:T19.SI
1595,E1:T08.SI
1596,E1:T24.SI
1597,E1:P58.SI
1598,E1:Y03.SI
1600,E2:5BK.SI
1601,E2:5LY.SI
1602,E2:5PD.SI
1603,E2:5VI.SI
1605,E2:5WD.SI
1606,E2:B49.SI
1607,E2:A6F.SI
1609,E1:X64.SI
1614,E2:5MS.SI
1618,E2:G13.SI
1620,E2:Q0F.SI
1621,E2:RF1U.SI
1622,E2:X64.SI
1623,E2:S68.SI
1624,E2:S51.SI
1625,E2:T13.SI
1626,L18.SI
1628,E2:G05.SI
1629,E2:H22.SI
1630,E2:P40U.SI
1631,E2:P47.SI
1632,E2:RC5.SI
1635,550.SI
1636,N0L.SI
1638,E2:EE6.SI
1639,E2:H15.SI
1640,E2:M14.SI
1641,E2:J74.SI
1645,E2:ON7.SI
1646,E2:O08.SI
1647,E2:P13.SI
1649,E2:J16.SI
1650,E2:IX2.SI
1651,E2:LJ3.SI
1653,E2:P34.SI
1654,E2:L5I.SI
1655,E2:N02.SI
1657,E2:K6S.SI
1660,E2:E3B.SI
1661,E2:C6U.SI
1666,E1:5VU.SI
1670,E2:GG7.SI
1672,E2:A50.SI
1673,E2:5WG.SI
1674,5G1.SI
1675,E2:5G5R.SI
1676,5DM.SI
1677,5CT.SI
1678,E1:TO9.SI
1679,E1:5I3.SI
1681,ES3.SI
1682,E2:Z74.SI
1686,E2:5EG.SI
1688,E1:AAFR.SI
1690,E2:5I5.SI
1692,E2:T55.SI
1693,E2:N32.SI
1697,E1:DU4.SI
1699,E1:5MS.SI
1700,E1:5NH.SI
1701,E1:532.SI
1702,E02.SI
1704,E1:S58.SI
1705,E1:S35.SI
1706,E1:T6I.SI
1709,E1:554.SI
1710,E1:5IE.SI
1711,E1:558.SI
1713,E2:593.SI
1714,E1:W01.SI
1715,E1:U19.SI
1717,E1:S05.SI
1718,E2:F1E.SI
1720,E2:J03.SI
1721,E2:I26.SI
1725,E2:M35.SI
1726,E2:P7VU.SI
1727,E2:S56.SI
1729,E2:H17.SI
1730,E2:L10.SI
1731,E2:L25.SI
1732,E2:O32.SI
1735,E2:O05.SI
1737,E2:S73.SI
1738,E2:I06.SI
1740,E2:I85.SI
1741,E2:L23.SI
1742,E2:OV8.SI
1743,E2:JS8.SI
1744,E2:S3N.SI
1745,E2:S35.SI
1746,E2:S10.SI
1747,E2:S44.SI
1748,E2:I11.SI
1749,E2:L20.SI
1750,E2:I03.SI
